month,growth_factor,area
28-02-2026,1.02272794,Al Barsha South Fourth
31-03-2026,1.11114464,Al Barsha South Fourth
30-04-2026,1.10759677,Al Barsha South Fourth
31-05-2026,1.13384783,Al Barsha South Fourth
30-06-2026,1.1301991,Al Barsha South Fourth
31-07-2026,1.12198175,Al Barsha South Fourth
28-02-2026,0.98307393,Business Bay
31-03-2026,0.99621241,Business Bay
30-04-2026,0.9767988,Business Bay
31-05-2026,0.96766368,Business Bay
30-06-2026,0.99753567,Business Bay
31-07-2026,0.99664303,Business Bay
28-02-2026,0.98893834,Al Merkadh
31-03-2026,0.98333066,Al Merkadh
30-04-2026,1.00133016,Al Merkadh
31-05-2026,1.01677409,Al Merkadh
30-06-2026,0.99106518,Al Merkadh
31-07-2026,1.01893651,Al Merkadh
28-02-2026,1.0741119,Burj Khalifa
31-03-2026,1.10746937,Burj Khalifa
30-04-2026,1.11982965,Burj Khalifa
31-05-2026,1.11680312,Burj Khalifa
30-06-2026,1.0561015,Burj Khalifa
31-07-2026,1.00936827,Burj Khalifa
28-02-2026,0.990103,Hadaeq Sheikh Mohammed Bin Rashid
31-03-2026,1.02408439,Hadaeq Sheikh Mohammed Bin Rashid
30-04-2026,1.06080897,Hadaeq Sheikh Mohammed Bin Rashid
31-05-2026,1.02056127,Hadaeq Sheikh Mohammed Bin Rashid
30-06-2026,1.03600858,Hadaeq Sheikh Mohammed Bin Rashid
31-07-2026,1.08155927,Hadaeq Sheikh Mohammed Bin Rashid
28-02-2026,0.99685094,Al Khairan First
31-03-2026,0.99765282,Al Khairan First
30-04-2026,1.00818988,Al Khairan First
31-05-2026,1.00649642,Al Khairan First
30-06-2026,1.05126539,Al Khairan First
31-07-2026,1.06693078,Al Khairan First
28-02-2026,1.0530771,Wadi Al Safa 5
31-03-2026,1.06517261,Wadi Al Safa 5
30-04-2026,1.06148742,Wadi Al Safa 5
31-05-2026,1.085167,Wadi Al Safa 5
30-06-2026,1.0804536,Wadi Al Safa 5
31-07-2026,1.13036637,Wadi Al Safa 5
28-02-2026,0.77808302,Al Thanyah Fifth
31-03-2026,0.79164773,Al Thanyah Fifth
30-04-2026,1.05322769,Al Thanyah Fifth
31-05-2026,1.27680284,Al Thanyah Fifth
30-06-2026,1.41127695,Al Thanyah Fifth
31-07-2026,1.23960801,Al Thanyah Fifth
28-02-2026,1.02068534,Al Barshaa South Third
31-03-2026,0.99162115,Al Barshaa South Third
30-04-2026,1.01855692,Al Barshaa South Third
31-05-2026,1.03926102,Al Barshaa South Third
30-06-2026,1.0508585,Al Barshaa South Third
31-07-2026,1.04471483,Al Barshaa South Third
28-02-2026,1.24469204,Jabal Ali First
31-03-2026,1.29176757,Jabal Ali First
30-04-2026,1.3168544,Jabal Ali First
31-05-2026,1.30254615,Jabal Ali First
30-06-2026,1.31182767,Jabal Ali First
31-07-2026,1.28418909,Jabal Ali First
28-02-2026,0.87143647,Madinat Al Mataar
31-03-2026,1.06749839,Madinat Al Mataar
30-04-2026,0.90446807,Madinat Al Mataar
31-05-2026,0.90606416,Madinat Al Mataar
30-06-2026,0.95625289,Madinat Al Mataar
31-07-2026,0.95768526,Madinat Al Mataar
28-02-2026,1.05102732,Madinat Dubai Almelaheyah
31-03-2026,1.06667981,Madinat Dubai Almelaheyah
30-04-2026,1.07594199,Madinat Dubai Almelaheyah
31-05-2026,1.09807194,Madinat Dubai Almelaheyah
30-06-2026,1.11919425,Madinat Dubai Almelaheyah
31-07-2026,1.10215273,Madinat Dubai Almelaheyah
28-02-2026,1.01780776,Me'Aisem First
31-03-2026,1.0421332,Me'Aisem First
30-04-2026,1.07165476,Me'Aisem First
31-05-2026,1.08123962,Me'Aisem First
30-06-2026,1.04699423,Me'Aisem First
31-07-2026,1.08303689,Me'Aisem First
28-02-2026,1.04248312,Al Hebiah Fourth
31-03-2026,1.26739507,Al Hebiah Fourth
30-04-2026,1.17493268,Al Hebiah Fourth
31-05-2026,1.09309346,Al Hebiah Fourth
30-06-2026,1.26286452,Al Hebiah Fourth
31-07-2026,1.14686167,Al Hebiah Fourth
28-02-2026,0.99380661,Al Barsha South Fifth
31-03-2026,1.01441683,Al Barsha South Fifth
30-04-2026,0.97286808,Al Barsha South Fifth
31-05-2026,1.01689871,Al Barsha South Fifth
30-06-2026,1.022872,Al Barsha South Fifth
31-07-2026,1.05509839,Al Barsha South Fifth
28-02-2026,1.07196611,Al Hebiah First
31-03-2026,1.08758268,Al Hebiah First
30-04-2026,1.07729356,Al Hebiah First
31-05-2026,1.11713544,Al Hebiah First
30-06-2026,1.09486411,Al Hebiah First
31-07-2026,1.09512618,Al Hebiah First
28-02-2026,1.10999902,Nadd Hessa
31-03-2026,1.0525541,Nadd Hessa
30-04-2026,1.11298092,Nadd Hessa
31-05-2026,1.09011379,Nadd Hessa
30-06-2026,1.1260166,Nadd Hessa
31-07-2026,1.0578522,Nadd Hessa
28-02-2026,0.97360784,Palm Jumeirah
31-03-2026,0.97135143,Palm Jumeirah
30-04-2026,0.98981924,Palm Jumeirah
31-05-2026,0.97870089,Palm Jumeirah
30-06-2026,0.95018819,Palm Jumeirah
31-07-2026,0.99567329,Palm Jumeirah
28-02-2026,1.06989872,Al Barshaa South Second
31-03-2026,1.07499235,Al Barshaa South Second
30-04-2026,1.1538799,Al Barshaa South Second
31-05-2026,1.15871504,Al Barshaa South Second
30-06-2026,1.16301261,Al Barshaa South Second
31-07-2026,1.19022333,Al Barshaa South Second
28-02-2026,1.03512727,Al Yelayiss 2
31-03-2026,1.10206603,Al Yelayiss 2
30-04-2026,1.06303771,Al Yelayiss 2
31-05-2026,1.01098296,Al Yelayiss 2
30-06-2026,1.05186433,Al Yelayiss 2
31-07-2026,1.0610634,Al Yelayiss 2
28-02-2026,1.02478751,Al Warsan First
31-03-2026,0.98564717,Al Warsan First
30-04-2026,1.01053557,Al Warsan First
31-05-2026,0.98428889,Al Warsan First
30-06-2026,1.01124768,Al Warsan First
31-07-2026,0.99118316,Al Warsan First
28-02-2026,1.11251386,Marsa Dubai
31-03-2026,1.18933282,Marsa Dubai
30-04-2026,1.18770323,Marsa Dubai
31-05-2026,1.26761118,Marsa Dubai
30-06-2026,1.22085502,Marsa Dubai
31-07-2026,1.14644766,Marsa Dubai
28-02-2026,0.96147058,G1
31-03-2026,0.91509921,G1
30-04-2026,0.84411184,G1
31-05-2026,0.87184196,G1
30-06-2026,0.90077112,G1
31-07-2026,0.97760624,G1
28-02-2026,0.96579013,G2
31-03-2026,0.99453902,G2
30-04-2026,0.93969277,G2
31-05-2026,0.96877519,G2
30-06-2026,0.98960954,G2
31-07-2026,0.99885825,G2
28-02-2026,1.13062187,G3
31-03-2026,1.12145971,G3
30-04-2026,1.10606148,G3
31-05-2026,1.12565778,G3
30-06-2026,1.08893893,G3
31-07-2026,1.11748072,G3
28-02-2026,1.16406026,G4
31-03-2026,1.08246232,G4
30-04-2026,1.15088512,G4
31-05-2026,1.10615565,G4
30-06-2026,1.14860974,G4
31-07-2026,1.15107284,G4
28-02-2026,0.94563909,G5
31-03-2026,0.96183474,G5
30-04-2026,0.86149208,G5
31-05-2026,0.8767164,G5
30-06-2026,0.73047826,G5
31-07-2026,0.88457152,G5
28-02-2026,1.01724863,Proxy1
31-03-2026,1.0342736,Proxy1
30-04-2026,1.05733512,Proxy1
31-05-2026,1.0676661,Proxy1
30-06-2026,1.08925838,Proxy1
31-07-2026,1.06826531,Proxy1
28-02-2026,1.01489551,Proxy2
31-03-2026,1.07915984,Proxy2
30-04-2026,1.0175719,Proxy2
31-05-2026,1.02125387,Proxy2
30-06-2026,1.01397828,Proxy2
31-07-2026,1.0484796,Proxy2
28-02-2026,1.00413745,Proxy3
31-03-2026,1.06221464,Proxy3
30-04-2026,1.08731213,Proxy3
31-05-2026,1.0806724,Proxy3
30-06-2026,1.0484308,Proxy3
31-07-2026,1.07629883,Proxy3
